#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
N     -2   -4    2    1   -4    0    1   -4   -2   -4   -3    5   -2    0   -1    1    1   -4   -7   -7    1 
P     -1  -10   -4   -1   -5   -3   -1   -4   -1   -4   -5   -4   10   -4   -2   -4   -6   -3   -4   -4   -6 
Q      0   -5    2    2   -3   -2    1   -3    3   -3    0    2   -1    6    2    1    1   -2   -4    1   -1 
R     -1   -6    0    1   -4   -2    2   -3    4   -3   -2    1   -1    3    8    1    2   -3   -2   -1   -4 
S      1   -7    0   -1   -4    0   -2   -4   -2   -4   -3    0    0   -1   -2    3    0   -3   -3   -3   -2 
T     -1   -7   -1    0   -3   -3   -2   -2   -3   -2   -2   -1   -2   -1   -2    0    3    0   -4   -3   -1 
V     -1   -8   -6   -4   -1   -5   -2    3   -3    1    0   -5   -4   -3   -3   -3   -1    6   -5   -1    1 
W     -4   -6  -10  -11    4   -5   -1   -3   -7   -1   -1  -10   -7   -6   -4   -9   -5   -4   14    7   -3 
Y     -3   -5   -6   -7    4   -5    1   -1   -3   -1    0   -3   -4   -2   -2   -3   -2   -2    4    9   -2 
J      2    0  -10  -12    0   -1    0    0   -4    1    0   -2   -4    0   -7   -1   -2    2   -8   -6   12 
U     -2   17   -9   -7   -2   -4   -5   -3   -5   -3   -3   -1   -7    0  -11   -4   -6   -2  -10   -3    8 
>HAsoN 6
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      5   -6   -1    0   -3    0   -1   -2    0   -2   -1   -2   -1   -1   -1    1   -2    0   -3   -3    3 
C     -6   18  -12  -13   -5   -7  -10   -9   -9   -7  -10   -8  -11  -11   -6  -10   -8   -9   -8   -7    0 
D     -1   -6    7    3   -5   -1   -2   -5    0   -5   -6    2   -1    1   -1    1   -1   -5   -6    0   -4 
E      0   -6    4    7   -4   -2   -1   -4    2   -4    0    2    0    4    1    0   -1   -3   -4   -3   -6 
F     -3   -5   -5   -5    9   -6   -2    0   -5    2    2   -4   -5   -4   -5   -4   -4    0    4    4    0 
G     -1   -8   -3   -6   -6    7   -4   -6   -3   -6   -5   -2   -3   -5   -3    1   -2   -5   -5   -8   -2 
H     -2   -6   -5   -2    0   -3   11   -4    0   -3   -2    1   -2    2    1   -3   -2   -3   -2    0   -1 
I     -2   -9   -5   -3    0   -6   -6    7   -4    3    3   -6   -4   -2   -4   -3   -3    4   -3   -4    0 
K      0   -8   -2    0   -4   -2   -1   -3    6   -3   -1    0   -1    1    3   -1    1   -2   -5   -1   -3 
L     -2   -7   -4   -5    2   -6   -5    3   -3    6    2   -4   -4   -3   -3   -3   -3    1   -1   -2    0 
M     -1   -9   -4   -3    1   -4    0    2   -2    4    9   -4   -4   -1   -2   -2   -3    1    0    1    0 
N     -2   -4    1   -3   -4    0    4   -4    0   -4   -4    6   -2    1    0    1    0   -4   -6   -2   -4 
P     -1  -10   -4   -2   -5   -3   -2   -4   -1   -4   -3   -3   10   -3   -2    0   -2   -3   -6   -7   -3 
Q      0   -5    1    3   -3   -2    2   -3    2   -3    2    4   -1    8    2    1    1   -2   -4    0   -3 
R     -1   -6   -1   -1   -4   -2    0   -3    3   -3   -4    0   -1    0    8   -2    0   -3   -3   -2   -4 
S      1   -7   -1    0   -4    0   -3   -4   -1   -4   -4    1    0    0   -1    5    2   -3   -5   -4   -1 
T     -1   -7   -1    0   -3   -3   -2   -2   -1   -2    0   -1   -2   -2   -1    2    7    0   -6   -5   -1 
V     -1   -8   -2   -4   -1   -5   -4    3   -3    1    1   -2   -4   -6   -4   -4   -1    6   -4   -3    2 
W     -4   -6   -3  -10    4   -5   -3   -3   -6   -1   -5   -8   -7   -9   -4   -7   -7   -4   15    2   -6 
Y     -3   -5   -3   -3    4   -5    3   -1   -4   -1   -2   -2   -4   -1   -2   -5   -3   -2    4   10   -2 
J      2    0   -4  -13    0   -1    0    0   -4    1    1   -4   -4   -8   -3   -4   -1    2   -5   -4   15 
U     -2   17   -8  -13   -2   -4   -4   -3   -7   -3   -3   -6   -7  -10   -5   -7   -4   -2   -7   -6   10 
>HAson 7
#      A    C    D    E    F    G    H    I    K    L    M    N    P    Q    R    S    T    V    W    Y    J 
A      4   -8    1    1   -2    2    0    0    1    0    1    1    1    1    0    1    1    2   -1    0    3 
C    -10   18   -9   -9   -7  -11   -9  -14  -15   -8  -11   -6  -25   -8  -12  -10  -17  -13  -16  -11   -2 
D      0   -5    5    2   -3    1    1   -3    0   -3   -3    2    1    1    0    2    2   -2   -5   -2   -3 
E      2   -5    4    6   -1    1    3   -1    3   -1   -1    3    1    3    2    1    3    0   -1    0    0 
F     -5  -11   -6   -6    8   -6   -1   -1   -6    1    0   -3   -6   -6   -5   -5   -4   -1    1    3    1 
G     -1  -11   -2   -3   -6    4   -4   -5   -3   -5   -5   -2   -3   -5   -3   -2   -2   -4   -5   -5   -3 
H     -1  -10   -2   -1    1   -2    9   -2    0   -1    0   -1   -2    0   -2   -1   -2   -1   -2    4   -2 
I     -4  -14   -6   -5   -1   -5   -5    5   -5    1    1   -4   -4   -5   -5   -5   -2    2   -3   -2   -1 
K      2   -9    1    2   -1    1    2    0    5    0    1    2    0    4    4    1    0    0   -3   -1   -3 
L     -3   -5   -6   -4    1   -4   -4    2   -4    5    3   -3   -4   -3   -3   -4   -4    1   -2   -1    1 
M     -2  -15   -5   -4    1   -2   -1    3   -2    4    8   -3   -5    1   -1   -2   -3    1    1    0    1 
N     -1   -2    1    0   -3    0    0   -3    0   -2   -1    4   -2    0    0    1    0   -3   -5    0   -3 
P     -1  -16    0   -2   -6   -2   -3   -2   -2   -4   -5    0    9   -1   -3    1    0   -3   -7   -5   -2 
Q      1   -3    2    2   -2    0    2   -1    2   -1    2    2    0    5    3    1    1    0   -3    0   -2 
R      0   -7    0    1   -1   -1    2    0    3    0    0    0   -1    2    7    0   -1   -1   -3    0    0 
S      1   -8    0   -1   -4    1   -1   -3    0   -3   -3    1    0   -1   -1    4    1   -2   -5   -3   -1 
